type,latitude,longitude,course,name,desc
T,40.518390000,-105.080270000,,"South Transit Center, Fort Collins, CO 80525 - 8th & Coffman Park-n-Ride - Gate A, Longmont, CO","25.6 mi, 0:40"
T,40.518390000,-105.080220000,90.0,,
T,40.518390000,-105.079860000,90.0,,
T,40.518390000,-105.079770000,90.0,,
T,40.518380000,-105.079730000,108.2,,
T,40.518360000,-105.079690000,123.3,,
T,40.518340000,-105.079680000,159.2,,
T,40.518310000,-105.079660000,153.1,,
T,40.518270000,-105.079650000,169.2,,
T,40.518160000,-105.079660000,184.0,,
T,40.517510000,-105.079680000,181.3,,
T,40.517510000,-105.079680000,181.3,,
T,40.517510000,-105.077760000,90.0,,
T,40.517510000,-105.077250000,90.0,,
T,40.517510000,-105.077250000,90.0,,
T,40.516300000,-105.077280000,181.1,,
T,40.515700000,-105.077290000,180.7,,
T,40.515420000,-105.077290000,180.0,,
T,40.515030000,-105.077300000,181.1,,
T,40.514680000,-105.077310000,181.2,,
T,40.514580000,-105.077310000,180.0,,
T,40.513770000,-105.077330000,181.1,,
T,40.513610000,-105.077330000,180.0,,
T,40.513490000,-105.077270000,159.2,,
T,40.513010000,-105.077280000,180.9,,
T,40.512740000,-105.077290000,181.6,,
T,40.512600000,-105.077300000,183.1,,
T,40.512590000,-105.077300000,180.0,,
T,40.512450000,-105.077310000,183.1,,
T,40.509370000,-105.077380000,181.0,,
T,40.508750000,-105.077380000,180.0,,
T,40.508630000,-105.077390000,183.6,,
T,40.506790000,-105.077430000,180.9,,
T,40.506520000,-105.077440000,181.6,,
T,40.506330000,-105.077450000,182.3,,
T,40.506100000,-105.077450000,180.0,,
T,40.505360000,-105.077440000,179.4,,
T,40.505190000,-105.077510000,197.4,,
T,40.504960000,-105.077510000,180.0,,
T,40.504690000,-105.077510000,180.0,,
T,40.504460000,-105.077500000,178.1,,
T,40.502650000,-105.077490000,179.8,,
T,40.502540000,-105.077490000,180.0,,
T,40.502050000,-105.077490000,180.0,,
T,40.501300000,-105.077510000,181.2,,
T,40.501130000,-105.077430000,160.3,,
T,40.500480000,-105.077420000,179.3,,
T,40.499730000,-105.077410000,179.4,,
T,40.498940000,-105.077420000,180.6,,
T,40.497500000,-105.077400000,179.4,,
T,40.496480000,-105.077400000,180.0,,
T,40.495780000,-105.077400000,180.0,,
T,40.495550000,-105.077460000,191.2,,
T,40.495330000,-105.077460000,180.0,,
T,40.494820000,-105.077450000,179.1,,
T,40.494120000,-105.077460000,180.6,,
T,40.493800000,-105.077460000,180.0,,
T,40.493560000,-105.077400000,169.2,,
T,40.491870000,-105.077360000,179.0,,
T,40.491790000,-105.077360000,180.0,,
T,40.491640000,-105.077360000,180.0,,
T,40.491120000,-105.077370000,180.8,,
T,40.489630000,-105.077390000,180.6,,
T,40.489360000,-105.077390000,180.0,,
T,40.487420000,-105.077400000,180.2,,
T,40.487120000,-105.077400000,180.0,,
T,40.486940000,-105.077450000,191.9,,
T,40.485170000,-105.077460000,180.2,,
T,40.484990000,-105.077460000,180.0,,
T,40.484970000,-105.077460000,180.0,,
T,40.484810000,-105.077470000,182.7,,
T,40.484590000,-105.077470000,180.0,,
T,40.484190000,-105.077470000,180.0,,
T,40.484090000,-105.077430000,163.1,,
T,40.484070000,-105.077430000,180.0,,
T,40.484030000,-105.077380000,136.4,,
T,40.481910000,-105.077400000,180.4,,
T,40.481620000,-105.077470000,190.4,,
T,40.481020000,-105.077470000,180.0,,
T,40.480210000,-105.077480000,180.5,,
T,40.480130000,-105.077480000,180.0,,
T,40.478640000,-105.077480000,180.0,,
T,40.477690000,-105.077480000,180.0,,
T,40.477590000,-105.077420000,155.5,,
T,40.476990000,-105.077420000,180.0,,
T,40.476270000,-105.077420000,180.0,,
T,40.475930000,-105.077420000,180.0,,
T,40.475390000,-105.077430000,180.8,,
T,40.475270000,-105.077500000,203.9,,
T,40.474960000,-105.077500000,180.0,,
T,40.474610000,-105.077490000,178.8,,
T,40.474560000,-105.077490000,180.0,,
T,40.472810000,-105.077500000,180.2,,
T,40.472770000,-105.077500000,180.0,,
T,40.472690000,-105.077420000,142.7,,
T,40.471220000,-105.077440000,180.6,,
T,40.469120000,-105.077430000,179.8,,
T,40.468060000,-105.077440000,180.4,,
T,40.467550000,-105.077450000,180.9,,
T,40.466930000,-105.077450000,180.0,,
T,40.466530000,-105.077450000,180.0,,
T,40.466000000,-105.077450000,180.0,,
T,40.465650000,-105.077450000,180.0,,
T,40.465580000,-105.077450000,180.0,,
T,40.464830000,-105.077440000,179.4,,
T,40.463350000,-105.077430000,179.7,,
T,40.462860000,-105.077430000,180.0,,
T,40.460620000,-105.077420000,179.8,,
T,40.460260000,-105.077420000,180.0,,
T,40.458920000,-105.077420000,180.0,,
T,40.458690000,-105.077420000,180.0,,
T,40.458560000,-105.077480000,199.3,,
